2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:44 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:44 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:45 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:45 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:45 EEST | INFO     | 
================================================================================
2025-10-11 11:36:45 EEST | INFO     | 🔍 АНАЛИЗ: ARKMUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:36:45 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:45 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:45 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:45 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:45 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:45 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:34 EEST | INFO     | 
================================================================================
2025-10-11 11:38:34 EEST | INFO     | 🔍 АНАЛИЗ: BTCUSDT | Режим: SQUEEZE | Bias: neutral
2025-10-11 11:38:34 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:34 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:34 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:34 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:35 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:35 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:35 EEST | INFO     | 
================================================================================
2025-10-11 11:38:35 EEST | INFO     | 🔍 АНАЛИЗ: ETHUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:38:35 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:35 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:35 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:35 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:35 EEST | INFO     | 
================================================================================
2025-10-11 11:38:35 EEST | INFO     | 🔍 АНАЛИЗ: BCHUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:38:35 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:35 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:35 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:35 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:36 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:36 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:36 EEST | INFO     | 
================================================================================
2025-10-11 11:38:36 EEST | INFO     | 🔍 АНАЛИЗ: XRPUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:38:36 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:36 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:36 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:36 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:36 EEST | INFO     | 
================================================================================
2025-10-11 11:38:36 EEST | INFO     | 🔍 АНАЛИЗ: LTCUSDT | Режим: SQUEEZE | Bias: neutral
2025-10-11 11:38:36 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:36 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:36 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:36 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:37 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:37 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:37 EEST | INFO     | 
================================================================================
2025-10-11 11:38:37 EEST | INFO     | 🔍 АНАЛИЗ: TRXUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:38:37 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:37 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:38:37 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:38:37 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:38:37 EEST | INFO     | 
================================================================================
2025-10-11 11:38:37 EEST | INFO     | 🔍 АНАЛИЗ: ETCUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:38:37 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:38:37 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:38:37 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:38:37 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:38:38 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:38:38 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:38:38 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:38:38 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:38:38 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:38:38 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:38:38 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
