2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
2025-10-14 10:31:01 EEST | INFO     | trading_bot | ✅ Rate limit window reset, counters cleared
